Time (s),Temperature (K)
0.881,1672.0305472637024
0.882,1671.9424366667536
0.883,1671.9070345971836
0.884,1671.8335418583783
0.885,1671.8417082037413
0.886,1671.8683396414913
0.887,1671.9097798718153
0.888,1672.0201334094231
0.889,1671.9605592862608
0.89,1671.9229481365674
0.891,1671.9198736349704
0.892,1671.904453769714
0.893,1671.9139064916608
0.894,1672.2135876284128
0.895,1672.2138717244366
0.896,1672.2644098719666
0.897,1672.2827453759905
0.898,1672.2741984723866
0.899,1672.2816359855879
0.9,1672.2612820146578
0.901,1672.325921556545
0.902,1672.2417731592118
0.903,1672.2371552256068
0.904,1672.2146127371498
0.905,1672.2874232988343
0.906,1672.1109649377222
0.907,1672.282068326871
0.908,1672.1581760062481
0.909,1672.1368419949517
0.91,1672.1700637538688
0.911,1672.208517402455
0.912,1672.3057886448723
0.913,1672.33441046815
0.914,1672.3828320063808
0.915,1672.0755548047073
0.916,1672.1479761335695
0.917,1671.9495196480198
0.918,1671.4946369315057
0.919,1671.3339050332625
0.92,1671.0138981704577
0.921,1671.2692739735703
0.922,1671.2115223525088
0.923,1671.3204280199361
0.924,1671.039679276219
0.925,1670.766165219106
0.926,1670.6916091061626
0.927,1670.9584262598828
0.928,1670.9973714266534
0.929,1671.2215349038152
0.93,1671.2835492957533
0.931,1671.1398169189765
0.932,1670.9074584062041
0.933,1670.644022964167
0.934,1670.683476796422
0.935,1670.6854758118702
0.936,1670.9177653882712
0.937,1670.9044259400775
0.938,1670.9449191294761
0.939,1670.9757561875308
0.94,1671.0318244291516
0.941,1671.001742575335
0.942,1670.9480392233845
0.943,1670.9936146909572
0.944,1670.981927610962
0.945,1670.974174450711
0.946,1670.7821253750717
0.947,1670.8304814773128
0.948,1670.8901997137382
0.949,1670.876818696594
0.95,1670.4728987335743
0.951,1670.3727314332154
0.952,1670.3315272112554
0.953,1670.3575953340128
0.954,1670.4844453121982
0.955,1670.5708955751961
0.956,1670.6382947592438
0.957,1670.6428931071591
0.958,1670.5156551083874
0.959,1671.0929118987447
0.96,1671.2803410040601
0.961,1671.4005733681556
0.962,1671.3689670550489
0.963,1671.2604992138608
0.964,1671.2102285557598
0.965,1671.3070197145794
0.966,1671.326799560909
0.967,1671.1390912015695
0.968,1670.927167988304
0.969,1670.8234174443082
0.97,1670.7368334973025
0.971,1669.5808661479891
0.972,1669.5349880318377
0.973,1669.8592001746724
0.974,1670.0655003890015
0.975,1670.0858515694931
0.976,1669.8984072027574
0.977,1669.74744893479
0.978,1669.734506895551
0.979,1669.8219195423435
0.98,1669.0071746144886
0.981,1668.9700821099914
0.982,1669.0948806290799
0.983,1668.946210683312
0.984,1668.999682489335
0.985,1669.018274141537
0.986,1669.1226465160676
0.987,1668.9924184634551
0.988,1668.9840811326908
0.989,1669.0369756364898
0.99,1669.055072919968
0.991,1669.1406555151193
0.992,1669.097069425246
0.993,1669.057655571978
0.994,1669.108136764164
0.995,1669.0987244116718
0.996,1669.0849815129868
0.997,1669.0820100326382
0.998,1669.054171103041
0.999,1669.0079105569152
1.0,1668.9978672286716
1.001,1669.0929757823628
1.002,1669.1428120222467
1.003,1669.2795809902927
1.004,1669.42488331307
1.005,1669.274223912285
1.006,1669.0946020628135
1.007,1668.9742933816224
1.008,1668.9870585837816
1.009,1669.307466757798
1.01,1669.2951498441857
1.011,1669.2426370817625
1.012,1668.996973302028
1.013,1668.715996246413
1.014,1668.310612627652
1.015,1668.5002518357496
1.016,1668.6581578902724
1.017,1668.7403523246917
1.018,1669.3189279999306
1.019,1669.118919512202
1.02,1668.0649406876796
1.021,1667.590872218393
1.022,1667.4635484933438
1.023,1667.476561137275
1.024,1667.5498149919013
1.025,1667.7558357949788
1.026,1667.567388813723
1.027,1667.2192245752794
1.028,1667.0623029865783
1.029,1666.6884744755907
1.03,1666.6570924813877
1.031,1666.9066659726968
1.032,1667.1341919680085
1.033,1667.2487314654709
1.034,1667.2816199645354
1.035,1667.3101058172497
1.036,1667.1278951619634
1.037,1667.128186230877
1.038,1667.0137377238739
1.039,1666.9001353865892
1.04,1666.8807804555313
1.041,1666.8932350237164
1.042,1666.9382694125097
1.043,1666.9421871274485
1.044,1666.859415684863
1.045,1666.8673568804752
1.046,1667.0444189482278
1.047,1666.9372856770647
1.048,1666.9564791758198
1.049,1667.0040904977222
1.05,1667.4097072020795
1.051,1667.5049578151397
1.052,1667.6141466880717
1.053,1667.5061813366956
1.054,1667.6047642954964
1.055,1667.88798595169
1.056,1668.1041485321598
1.057,1668.4499988432663
1.058,1668.5028955109233
1.059,1667.8946101414167
1.06,1667.3337308805185
1.061,1666.8347770479027
1.062,1666.9254649738727
1.063,1667.072070933371
1.064,1667.4689200466541
